,time_point,type_0.96,CRISPR,count_bac,count_phage,bac_presence,phage_presence,count_bac_normalized,count_phage_normalized
0,0,1,1,3.0,20.0,1,1,2.481767283027359e-07,5.685267944261974e-07
1,0,2,1,2.0,3.0,1,1,1.6545115220182393e-07,8.527901916392962e-08
2,0,3,1,344.0,0.0,1,0,2.8457598178713718e-05,0.0
3,0,14,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
4,0,24,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
5,0,28,3,254.0,0.0,1,0,2.101229632963164e-05,0.0
6,0,29,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
7,0,32,1,1.0,345.0,0,1,8.272557610091196e-08,9.807087203851905e-06
8,0,37,1,12.0,0.0,1,0,9.927069132109436e-07,0.0
9,0,45,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
10,0,46,1,1.0,1.0,0,0,8.272557610091196e-08,2.842633972130987e-08
11,0,47,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
12,0,55,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
13,0,56,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
14,0,68,3,11.0,263.0,1,1,9.099813371100316e-07,7.476127346704496e-06
15,0,70,3,209.0,0.0,1,0,1.72896454050906e-05,0.0
16,0,84,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
17,0,86,1,5.0,0.0,1,0,4.136278805045598e-07,0.0
18,0,87,1,9.0,0.0,1,0,7.445301849082077e-07,0.0
19,0,93,3,15.0,46013.0,1,1,1.2408836415136794e-06,0.0013079811695966312
20,0,96,1,4.0,1.0,1,0,3.3090230440364786e-07,2.842633972130987e-08
21,0,105,1,299.0,0.0,1,0,2.4734947254172678e-05,0.0
22,0,105,3,1.0,36.0,0,1,8.272557610091196e-08,1.0233482299671553e-06
23,0,106,3,13.0,0.0,1,0,1.0754324893118556e-06,0.0
24,0,108,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
25,0,112,1,2.0,0.0,1,0,1.6545115220182393e-07,0.0
26,0,122,3,4.0,0.0,1,0,3.3090230440364786e-07,0.0
27,0,124,3,2.0,2127.0,1,1,1.6545115220182393e-07,6.0462824587226094e-05
28,0,132,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
29,0,155,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
30,0,156,3,2.0,59.0,1,1,1.6545115220182393e-07,1.6771540435572823e-06
31,0,164,1,4.0,0.0,1,0,3.3090230440364786e-07,0.0
32,0,166,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
33,0,169,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
34,0,173,1,23.0,0.0,1,0,1.9026882503209753e-06,0.0
35,0,176,3,2.0,0.0,1,0,1.6545115220182393e-07,0.0
36,0,180,1,24.0,0.0,1,0,1.9854138264218873e-06,0.0
37,0,182,1,2.0,0.0,1,0,1.6545115220182393e-07,0.0
38,0,190,1,1.0,5.0,0,1,8.272557610091196e-08,1.4213169860654934e-07
39,0,198,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
40,0,207,1,2.0,0.0,1,0,1.6545115220182393e-07,0.0
41,0,211,1,350.0,0.0,1,0,2.8953951635319187e-05,0.0
42,0,213,3,371.0,0.0,1,0,3.069118873343834e-05,0.0
43,0,214,1,355.0,0.0,1,0,2.9367579515823748e-05,0.0
44,0,217,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
45,0,234,1,17.0,0.0,1,0,1.4063347937155034e-06,0.0
46,0,236,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
47,0,243,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
48,0,247,1,7.0,11990.0,1,1,5.790790327063838e-07,0.00034083181325850534
49,0,265,1,4.0,0.0,1,0,3.3090230440364786e-07,0.0
50,0,275,3,2.0,0.0,1,0,1.6545115220182393e-07,0.0
51,0,276,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
52,0,292,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
53,0,296,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
54,0,296,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
55,0,310,1,11.0,0.0,1,0,9.099813371100316e-07,0.0
56,0,316,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
57,0,320,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
58,0,323,3,2.0,0.0,1,0,1.6545115220182393e-07,0.0
59,0,332,1,2.0,0.0,1,0,1.6545115220182393e-07,0.0
60,0,335,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
61,0,337,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
62,0,341,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
63,0,353,1,11.0,0.0,1,0,9.099813371100316e-07,0.0
64,0,356,1,13.0,0.0,1,0,1.0754324893118556e-06,0.0
65,0,362,3,2.0,3.0,1,1,1.6545115220182393e-07,8.527901916392962e-08
66,0,364,1,2.0,0.0,1,0,1.6545115220182393e-07,0.0
67,0,365,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
68,0,375,1,22.0,0.0,1,0,1.8199626742200632e-06,0.0
69,0,378,1,295.0,0.0,1,0,2.440404494976903e-05,0.0
70,0,390,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
71,0,392,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
72,0,400,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
73,0,402,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
