,time_point,type_0.96,CRISPR,count_bac,count_phage,bac_presence,phage_presence,count_bac_normalized,count_phage_normalized
0,0,1,1,3.0,18313.0,1,1,2.481767283027359e-07,0.0005205715593163476
1,0,2,1,2.0,2824.0,1,1,1.6545115220182393e-07,8.027598337297907e-05
2,0,3,1,344.0,0.0,1,0,2.8457598178713718e-05,0.0
3,0,14,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
4,0,24,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
5,0,28,3,254.0,0.0,1,0,2.101229632963164e-05,0.0
6,0,29,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
7,0,32,1,1.0,345.0,0,1,8.272557610091196e-08,9.807087203851905e-06
8,0,37,1,12.0,0.0,1,0,9.927069132109436e-07,0.0
9,0,45,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
10,0,46,1,1.0,1.0,0,0,8.272557610091196e-08,2.842633972130987e-08
11,0,47,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
12,0,55,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
13,0,56,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
14,0,68,3,11.0,393392.0,1,1,9.099813371100316e-07,0.011182694635645533
15,0,70,3,209.0,0.0,1,0,1.72896454050906e-05,0.0
16,0,84,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
17,0,86,1,5.0,0.0,1,0,4.136278805045598e-07,0.0
18,0,87,1,9.0,0.0,1,0,7.445301849082077e-07,0.0
19,0,93,3,15.0,46013.0,1,1,1.2408836415136794e-06,0.0013079811695966312
20,0,96,1,4.0,74.0,1,1,3.3090230440364786e-07,2.1035491393769304e-06
21,0,105,1,299.0,0.0,1,0,2.4734947254172678e-05,0.0
22,0,105,3,1.0,36.0,0,1,8.272557610091196e-08,1.0233482299671553e-06
23,0,106,3,13.0,0.0,1,0,1.0754324893118556e-06,0.0
24,0,108,3,1.0,0.0,0,0,8.272557610091196e-08,0.0
25,0,112,1,2.0,0.0,1,0,1.6545115220182393e-07,0.0
26,0,122,3,4.0,0.0,1,0,3.3090230440364786e-07,0.0
27,0,124,3,2.0,2127.0,1,1,1.6545115220182393e-07,6.0462824587226094e-05
28,0,132,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
29,0,155,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
30,0,156,3,2.0,59.0,1,1,1.6545115220182393e-07,1.6771540435572823e-06
31,0,164,1,4.0,0.0,1,0,3.3090230440364786e-07,0.0
32,0,166,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
33,0,169,1,1.0,4.0,0,1,8.272557610091196e-08,1.1370535888523948e-07
34,0,173,1,23.0,0.0,1,0,1.9026882503209753e-06,0.0
35,0,176,3,2.0,0.0,1,0,1.6545115220182393e-07,0.0
36,0,180,1,24.0,0.0,1,0,1.9854138264218873e-06,0.0
37,0,182,1,2.0,0.0,1,0,1.6545115220182393e-07,0.0
38,0,190,1,1.0,2613.0,0,1,8.272557610091196e-08,7.42780256917827e-05
39,0,198,1,1.0,0.0,0,0,8.272557610091196e-08,0.0
40,0,207,1,2.0,0.0,1,0,1.6545115220182393e-07,0.0
41,0,211,1,350.0,0.0,1,0,2.8953951635319187e-05,0.0
42,0,213,3,371.0,0.0,1,0,3.069118873343834e-05,0.0
43,0,214,1,355.0,0.0,1,0,2.9367579515823748e-05,0.0
