,time_point,type_0.92,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,0,1,15.0,0.0,1,0
1,0,1,1,2.0,0.0,1,0
2,0,2,2,1.0,0.0,0,0
3,0,6,2,3.0,0.0,1,0
4,0,7,1,10.0,0.0,1,0
5,0,7,2,3.0,0.0,1,0
6,0,8,1,9.0,0.0,1,0
7,0,10,1,1.0,0.0,0,0
8,0,12,2,2.0,0.0,1,0
9,0,14,2,1.0,0.0,0,0
10,0,17,1,3.0,0.0,1,0
11,0,25,1,18.0,0.0,1,0
12,0,28,1,9.0,0.0,1,0
13,0,28,2,10.0,0.0,1,0
14,0,30,2,3.0,0.0,1,0
15,0,32,2,1.0,0.0,0,0
16,0,35,1,9.0,0.0,1,0
17,0,35,2,6.0,0.0,1,0
18,0,36,1,12.0,0.0,1,0
19,0,38,1,16.0,0.0,1,0
20,0,41,1,1.0,0.0,0,0
21,0,46,1,1.0,0.0,0,0
22,0,55,1,15.0,0.0,1,0
23,0,59,1,17.0,0.0,1,0
24,0,62,2,10.0,0.0,1,0
25,0,64,2,10.0,0.0,1,0
26,0,66,1,11.0,0.0,1,0
27,0,66,2,1.0,0.0,0,0
28,0,74,2,7.0,0.0,1,0
29,0,78,1,17.0,0.0,1,0
30,0,84,1,4.0,0.0,1,0
31,0,86,1,4.0,0.0,1,0
32,0,89,1,1.0,0.0,0,0
33,0,90,1,1.0,0.0,0,0
34,0,101,1,13.0,0.0,1,0
35,0,102,1,1.0,0.0,0,0
36,0,105,2,1.0,0.0,0,0
37,0,107,1,1.0,0.0,0,0
38,0,108,2,1.0,0.0,0,0
39,0,110,1,16.0,0.0,1,0
40,0,118,2,1.0,0.0,0,0
41,0,121,1,9.0,0.0,1,0
42,0,125,1,2.0,0.0,1,0
43,0,132,1,12.0,0.0,1,0
44,0,134,2,2.0,0.0,1,0
45,0,136,1,1.0,0.0,0,0
46,0,144,1,4.0,0.0,1,0
47,0,145,1,1.0,0.0,0,0
48,0,150,1,1.0,0.0,0,0
49,0,153,1,5.0,0.0,1,0
50,0,154,1,1.0,0.0,0,0
51,0,163,1,1.0,0.0,0,0
52,0,171,1,5.0,0.0,1,0
53,0,172,1,2.0,0.0,1,0
54,0,178,1,1.0,0.0,0,0
55,0,179,1,12.0,0.0,1,0
56,0,183,1,13.0,0.0,1,0
57,0,184,2,1.0,0.0,0,0
58,0,189,2,1.0,0.0,0,0
59,0,190,1,1.0,0.0,0,0
60,0,191,1,15.0,0.0,1,0
61,0,196,1,14.0,0.0,1,0
62,0,196,2,1.0,0.0,0,0
63,0,205,1,1.0,0.0,0,0
64,0,207,1,1.0,0.0,0,0
65,0,226,1,7.0,0.0,1,0
66,0,229,1,1.0,0.0,0,0
67,0,237,1,8.0,0.0,1,0
68,0,238,1,8.0,0.0,1,0
69,0,248,1,9.0,0.0,1,0
70,0,258,2,1.0,0.0,0,0
71,0,259,1,1.0,0.0,0,0
72,0,272,1,5.0,0.0,1,0
73,0,279,1,1.0,0.0,0,0
74,0,286,1,2.0,0.0,1,0
75,0,293,1,1.0,0.0,0,0
76,0,319,1,1.0,0.0,0,0
77,0,320,1,2.0,0.0,1,0
78,0,325,1,9.0,0.0,1,0
79,0,335,1,6.0,0.0,1,0
80,0,341,2,1.0,0.0,0,0
81,0,361,1,3.0,0.0,1,0
82,0,371,1,18.0,0.0,1,0
83,0,376,2,1.0,0.0,0,0
84,0,381,1,5.0,0.0,1,0
85,0,388,1,1.0,0.0,0,0
86,0,389,1,2.0,0.0,1,0
87,0,390,1,17.0,0.0,1,0
88,0,405,1,1.0,0.0,0,0
89,0,416,1,1.0,0.0,0,0
