,time_point,type_0.86,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,0,2,7.0,0.0,1,0
1,0,1,2,4.0,0.0,1,0
2,0,2,2,3.0,0.0,1,0
3,0,3,1,9.0,0.0,1,0
4,0,3,2,1.0,0.0,1,0
5,0,4,1,1.0,0.0,1,0
6,0,4,2,3.0,0.0,1,0
7,0,5,1,17.0,0.0,1,0
8,0,5,2,4.0,0.0,1,0
9,0,6,2,8.0,0.0,1,0
10,0,7,1,1.0,0.0,1,0
11,0,8,2,14.0,0.0,1,0
12,0,9,1,5.0,0.0,1,0
13,0,9,2,10.0,0.0,1,0
14,0,12,1,14.0,0.0,1,0
15,0,14,1,13.0,0.0,1,0
16,0,15,1,14.0,0.0,1,0
17,0,17,1,16.0,0.0,1,0
18,0,24,1,15.0,0.0,1,0
19,0,25,1,5.0,0.0,1,0
20,0,27,1,16.0,0.0,1,0
21,0,31,1,10.0,0.0,1,0
22,0,32,1,17.0,0.0,1,0
23,0,32,2,10.0,0.0,1,0
24,0,34,1,5.0,0.0,1,0
25,0,42,2,1.0,0.0,1,0
26,0,44,1,18.0,0.0,1,0
27,0,45,1,2.0,0.0,1,0
28,0,46,1,12.0,0.0,1,0
29,0,47,1,8.0,0.0,1,0
30,0,48,1,12.0,0.0,1,0
31,0,49,1,12.0,0.0,1,0
32,0,50,1,14.0,0.0,1,0
33,0,52,1,3.0,0.0,1,0
34,0,56,1,10.0,0.0,1,0
35,0,59,1,15.0,0.0,1,0
36,0,68,1,9.0,0.0,1,0
37,0,71,1,1.0,0.0,1,0
38,0,72,1,1.0,0.0,1,0
39,0,75,1,12.0,0.0,1,0
40,0,90,1,9.0,0.0,1,0
41,0,93,1,15.0,0.0,1,0
42,0,94,1,1.0,0.0,1,0
43,0,94,2,1.0,0.0,1,0
44,0,95,2,1.0,0.0,1,0
45,0,97,1,7.0,0.0,1,0
46,0,98,1,9.0,0.0,1,0
47,0,104,1,4.0,0.0,1,0
48,0,107,1,8.0,0.0,1,0
49,0,109,1,15.0,0.0,1,0
50,0,113,1,4.0,0.0,1,0
51,0,114,1,18.0,0.0,1,0
52,0,117,2,1.0,0.0,1,0
53,0,121,2,1.0,0.0,1,0
54,0,123,1,16.0,0.0,1,0
55,0,124,1,18.0,0.0,1,0
56,0,125,2,1.0,0.0,1,0
57,0,127,1,19.0,0.0,1,0
58,0,130,1,2.0,0.0,1,0
59,0,131,1,11.0,0.0,1,0
