,C0,mu,eta,e,B,m_init,mean_m,mean_nb,mean_nu,mean_C,mean_nv,e_effective,pv_type,theta,gen_max,bac_extinct,phage_extinct,timestamp,end_time,folder_date,f,pv
5811,1000.0,1e-05,0.0001,0.5,170.0,50.0,1.4313726425170898,195.80392456054688,0.4495840668678283,617.9804077148438,20825.685546875,0.2733077108860016,binary,0.0,10000.0,0,0,2021-07-22T05:41:14.113987,10000.0,2019-05-14,0.3,0.02
5812,1000.0,1e-05,0.0001,0.5,170.0,50.0,1.4313725233078003,192.3333282470703,0.4386041760444641,620.3921508789062,21076.646484375,0.2893055379390716,binary,0.0,10000.0,0,0,2021-07-22T05:59:54.875871,10000.0,2019-05-14,0.3,0.02
5813,300.0,1e-06,0.001,0.5,170.0,1.0,1.0196077823638916,94.52941131591795,0.7332751750946045,149.64706420898438,5234.09814453125,0.4944720864295959,binary,0.0,10000.0,0,0,2021-07-22T06:55:15.284509,10000.0,2019-05-14,0.3,0.02
5814,300.0,1e-06,0.001,0.5,170.0,1.0,1.0196079015731812,90.2745132446289,0.735821545124054,149.7647247314453,5592.8037109375,0.4825375080108642,binary,0.0,10000.0,0,0,2021-07-22T07:06:10.184440,10000.0,2019-05-14,0.3,0.02
5815,300.0,1e-06,0.001,0.5,170.0,1.0,1.0196077823638916,92.49019622802734,0.7341143488883972,152.25491333007812,5093.05859375,0.4973218441009521,binary,0.0,10000.0,0,0,2021-07-22T10:17:29.783165,10000.0,2019-05-14,0.3,0.02
5816,300.0,1e-06,0.001,0.5,170.0,1.0,1.0,104.03921508789062,0.7501664757728577,142.25489807128906,4961.2158203125,0.4999838471412658,binary,0.0,10000.0,0,0,2021-07-22T10:28:39.333170,10000.0,2019-05-14,0.3,0.02
5817,30000.0,3.162277660168379e-07,0.001,0.1,170.0,10.0,6.705882549285889,4487.9609375,0.3327797353267669,19983.978515625,662611.8125,0.0173732880502939,binary,0.0,15000.0,0,0,2020-10-18T20:29:13.268166,15000.0,2019-05-14,0.3,0.02
5818,30000.0,3.162277660168379e-07,0.001,0.1,170.0,10.0,7.333333492279053,4543.05859375,0.3345021605491638,19954.138671875,658527.1875,0.0164448134601116,binary,0.0,15000.0,0,0,2020-10-18T20:29:55.563625,15000.0,2019-05-14,0.3,0.02
5819,30000.0,3.162277660168379e-07,0.001,0.1,170.0,10.0,6.941175937652588,4499.94140625,0.3375688791275024,19969.44921875,662849.4375,0.0170978140085935,binary,0.0,15000.0,0,0,2020-10-18T21:32:35.272697,15000.0,2019-05-14,0.3,0.02
5820,30000.0,3.162277660168379e-07,0.001,0.1,170.0,10.0,7.392157077789307,4508.92138671875,0.336659699678421,19946.72265625,659739.5,0.0165556222200393,binary,0.0,15000.0,0,0,2020-10-19T00:43:07.087569,15000.0,2019-05-14,0.3,0.02
5821,30000.0,3.162277660168379e-07,0.001,0.1,170.0,10.0,6.764706134796143,4518.07861328125,0.3365214169025421,19989.3359375,657827.4375,0.0177664216607809,binary,0.0,15000.0,0,0,2021-07-22T16:48:04.826863,15000.0,2019-05-14,0.3,0.02
5822,3000.0,1e-06,0.0001,0.8,170.0,50.0,2.529411792755127,672.4901733398438,0.5983038544654846,1744.568603515625,60158.1171875,0.3299673497676849,binary,0.0,10000.0,0,0,2020-10-02T19:37:50.971425,10000.0,2019-05-14,0.3,0.02
5823,3000.0,1e-06,0.0001,0.8,170.0,50.0,2.5490195751190186,646.7058715820312,0.6022512912750244,1766.5294189453125,63884.9609375,0.3114182353019714,binary,0.0,10000.0,0,0,2020-10-02T19:37:50.971659,10000.0,2019-05-14,0.3,0.02
5824,3000.0,1e-06,0.0001,0.8,170.0,50.0,2.4901959896087646,695.313720703125,0.6101711988449097,1706.1568603515625,61129.01953125,0.3533496856689453,binary,0.0,10000.0,0,0,2020-10-02T19:37:50.971614,10000.0,2019-05-14,0.3,0.02
5825,3000.0,1e-06,0.0001,0.8,170.0,50.0,2.5686275959014893,634.9019775390625,0.5742854475975037,1789.8236083984375,63814.05859375,0.310467392206192,binary,0.0,10000.0,0,0,2020-10-02T19:37:50.974803,10000.0,2019-05-14,0.3,0.02
5826,3000.0,1e-06,0.0001,0.8,170.0,50.0,2.5686275959014893,613.3333129882812,0.5759672522544861,1774.0980224609375,64765.29296875,0.2919486761093139,binary,0.0,10000.0,0,0,2020-10-02T19:37:50.970960,10000.0,2019-05-14,0.3,0.02
5827,10000.0,1e-06,0.001,0.95,170.0,1.0,9.875,1571.1875,0.4737962186336517,6546.0625,218538.4375,0.1059532091021537,binary,0.0,10000.0,0,0,2020-10-01T19:45:20.015828,10000.0,2019-05-14,0.3,0.02
