,time_point,type_0.97,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,0,2,1.0,0.0,0,0
1,0,2,1,11.0,13.0,1,1
2,0,3,1,8.0,6.0,1,1
3,0,7,1,10.0,12.0,1,1
4,0,8,2,1.0,0.0,0,0
5,0,12,2,2.0,0.0,1,0
6,0,17,2,5.0,0.0,1,0
7,0,29,2,1.0,0.0,0,0
8,0,34,2,7.0,0.0,1,0
9,0,37,2,1.0,0.0,0,0
10,0,42,1,10.0,10.0,1,1
11,0,45,2,10.0,0.0,1,0
12,0,50,1,1.0,1.0,0,0
13,0,58,2,1.0,0.0,0,0
14,0,82,2,1.0,0.0,0,0
15,0,87,1,1.0,0.0,0,0
16,0,90,1,16.0,1.0,1,0
17,0,90,2,9.0,0.0,1,0
18,0,94,1,15.0,13.0,1,1
19,0,104,2,3.0,0.0,1,0
20,0,106,1,2.0,0.0,1,0
21,0,106,2,3.0,0.0,1,0
22,0,107,2,1.0,0.0,0,0
23,0,108,2,5.0,0.0,1,0
24,0,109,2,1.0,0.0,0,0
25,0,123,1,5.0,0.0,1,0
26,0,125,1,2.0,0.0,1,0
27,0,127,1,1.0,1.0,0,0
28,0,128,1,12.0,11.0,1,1
29,0,140,1,1.0,2.0,0,1
30,0,160,2,1.0,0.0,0,0
31,0,164,2,1.0,0.0,0,0
32,0,170,1,1.0,0.0,0,0
33,0,177,1,14.0,0.0,1,0
34,0,186,1,3.0,0.0,1,0
35,0,194,1,17.0,18.0,1,1
36,0,196,2,1.0,0.0,0,0
37,0,206,1,7.0,0.0,1,0
38,0,206,2,2.0,0.0,1,0
39,0,210,2,1.0,0.0,0,0
40,0,211,2,1.0,0.0,0,0
41,0,246,1,9.0,9.0,1,1
42,0,255,1,13.0,0.0,1,0
43,0,262,1,11.0,10.0,1,1
44,0,269,1,15.0,0.0,1,0
45,0,298,1,1.0,0.0,0,0
46,0,306,2,1.0,0.0,0,0
47,0,328,1,1.0,1.0,0,0
48,0,364,1,1.0,0.0,0,0
49,0,386,1,11.0,0.0,1,0
50,0,396,2,1.0,0.0,0,0
51,0,399,1,2.0,0.0,1,0
52,0,405,2,1.0,0.0,0,0
53,0,410,1,1.0,0.0,0,0
54,0,418,1,1.0,0.0,0,0
55,0,433,2,1.0,0.0,0,0
56,0,436,2,1.0,0.0,0,0
57,0,449,1,1.0,1.0,0,0
58,0,460,1,1.0,0.0,0,0
59,0,473,1,9.0,8.0,1,1
60,0,475,1,9.0,0.0,1,0
61,0,481,1,1.0,0.0,0,0
62,0,484,1,9.0,0.0,1,0
63,0,491,1,1.0,1.0,0,0
64,0,508,2,1.0,0.0,0,0
65,0,514,1,1.0,0.0,0,0
66,0,527,1,4.0,0.0,1,0
67,0,530,1,1.0,0.0,0,0
68,0,534,2,1.0,0.0,0,0
69,0,543,1,1.0,0.0,0,0
70,0,549,2,1.0,0.0,0,0
71,0,555,2,1.0,0.0,0,0
72,0,560,1,1.0,0.0,0,0
73,0,584,1,3.0,0.0,1,0
74,0,588,1,1.0,0.0,0,0
75,0,600,1,1.0,0.0,0,0
76,0,602,2,1.0,0.0,0,0
77,0,608,1,9.0,0.0,1,0
78,0,616,1,2.0,7.0,1,1
79,0,625,1,13.0,12.0,1,1
80,0,656,1,1.0,1.0,0,0
81,0,659,1,1.0,0.0,0,0
82,0,663,1,8.0,0.0,1,0
83,0,683,1,1.0,1.0,0,0
84,0,683,2,1.0,0.0,0,0
85,0,703,1,7.0,0.0,1,0
86,0,733,1,1.0,1.0,0,0
87,0,738,2,1.0,0.0,0,0
88,0,740,1,11.0,0.0,1,0
89,0,740,2,1.0,0.0,0,0
90,0,753,2,1.0,0.0,0,0
91,0,757,1,1.0,2.0,0,1
92,0,760,2,1.0,0.0,0,0
93,0,767,1,2.0,0.0,1,0
94,0,772,1,2.0,8.0,1,1
95,0,774,1,9.0,0.0,1,0
96,0,778,1,1.0,0.0,0,0
97,0,787,1,3.0,0.0,1,0
98,0,799,1,1.0,0.0,0,0
99,0,815,1,1.0,11.0,0,1
100,0,817,1,8.0,1.0,1,0
101,0,828,1,14.0,0.0,1,0
102,0,835,1,1.0,2.0,0,1
103,0,839,1,2.0,0.0,1,0
104,0,861,1,1.0,1.0,0,0
105,0,864,1,3.0,0.0,1,0
106,0,865,1,8.0,0.0,1,0
107,0,867,1,2.0,0.0,1,0
108,0,882,2,1.0,0.0,0,0
109,0,889,2,1.0,0.0,0,0
110,0,891,1,4.0,0.0,1,0
111,0,915,1,1.0,0.0,0,0
112,0,970,1,14.0,13.0,1,1
113,0,975,1,1.0,0.0,0,0
114,0,981,1,1.0,0.0,0,0
115,0,983,1,1.0,1.0,0,0
116,0,1011,1,1.0,0.0,0,0
117,0,1015,1,1.0,0.0,0,0
118,0,1054,1,2.0,0.0,1,0
119,0,1098,1,16.0,0.0,1,0
120,0,1126,1,1.0,1.0,0,0
121,0,1149,1,1.0,0.0,0,0
122,0,1158,1,1.0,1.0,0,0
123,0,1233,1,2.0,2.0,1,1
124,0,1406,1,1.0,0.0,0,0
125,0,1443,1,1.0,0.0,0,0
126,0,1445,1,1.0,12.0,0,1
127,0,1460,1,2.0,0.0,1,0
128,0,1547,1,5.0,5.0,1,1
129,0,1612,1,13.0,0.0,1,0
130,0,1621,1,1.0,10.0,0,1
131,0,1653,1,1.0,14.0,0,1
132,0,1657,1,20.0,21.0,1,1
133,0,1665,1,11.0,0.0,1,0
134,0,1697,1,1.0,0.0,0,0
135,0,1780,1,1.0,1.0,0,0
136,0,1788,1,1.0,1.0,0,0
137,0,1818,1,1.0,2.0,0,1
138,0,1944,1,1.0,1.0,0,0
139,0,1971,1,1.0,0.0,0,0
140,0,1979,1,2.0,0.0,1,0
141,0,2081,1,1.0,1.0,0,0
142,0,2109,1,1.0,0.0,0,0
143,0,2181,1,18.0,0.0,1,0
144,0,2223,1,1.0,1.0,0,0
145,0,2247,1,1.0,0.0,0,0
146,0,2470,1,3.0,0.0,1,0
147,0,2472,1,1.0,1.0,0,0
148,0,2505,1,1.0,1.0,0,0
149,0,2524,1,1.0,1.0,0,0
150,0,2568,1,1.0,1.0,0,0
151,0,2683,1,1.0,0.0,0,0
152,0,2824,1,1.0,0.0,0,0
153,0,2853,1,1.0,0.0,0,0
154,0,2960,1,1.0,0.0,0,0
155,0,2969,1,1.0,1.0,0,0
156,0,2974,1,1.0,11.0,0,1
157,0,2994,1,1.0,0.0,0,0
158,0,3070,1,1.0,0.0,0,0
159,0,3123,1,1.0,0.0,0,0
160,0,3126,1,1.0,0.0,0,0
161,0,3150,1,1.0,1.0,0,0
162,0,3182,1,1.0,1.0,0,0
163,0,3263,1,6.0,6.0,1,1
164,0,3321,1,1.0,1.0,0,0
165,0,3337,1,1.0,16.0,0,1
166,0,3360,1,1.0,0.0,0,0
167,0,3399,1,4.0,4.0,1,1
