,time_point,type_0.9,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,1,1,5.0,5.0,1,1
1,0,2,2,3.0,0.0,1,0
2,0,3,1,1.0,0.0,0,0
3,0,4,2,7.0,0.0,1,0
4,0,5,2,1.0,0.0,0,0
5,0,6,2,1.0,0.0,0,0
6,0,11,2,7.0,0.0,1,0
7,0,12,2,11.0,0.0,1,0
8,0,19,2,3.0,0.0,1,0
9,0,24,2,3.0,0.0,1,0
10,0,26,2,1.0,0.0,0,0
11,0,30,2,3.0,0.0,1,0
12,0,34,1,10.0,11.0,1,1
13,0,34,2,10.0,0.0,1,0
14,0,36,1,16.0,30.0,1,1
15,0,45,1,1.0,0.0,0,0
16,0,47,1,1.0,0.0,0,0
17,0,49,2,2.0,0.0,1,0
18,0,53,1,4.0,25.0,1,1
19,0,60,1,2.0,0.0,1,0
20,0,61,2,10.0,0.0,1,0
21,0,67,1,16.0,16.0,1,1
22,0,72,1,10.0,5.0,1,1
23,0,76,1,14.0,11.0,1,1
24,0,82,1,9.0,9.0,1,1
25,0,88,1,9.0,9.0,1,1
26,0,94,2,1.0,0.0,0,0
27,0,95,2,1.0,0.0,0,0
28,0,99,1,1.0,1.0,0,0
29,0,101,1,17.0,19.0,1,1
30,0,102,1,15.0,15.0,1,1
31,0,108,1,8.0,9.0,1,1
32,0,124,1,11.0,13.0,1,1
33,0,125,2,1.0,0.0,0,0
34,0,135,1,1.0,1.0,0,0
35,0,138,1,1.0,1.0,0,0
36,0,139,1,15.0,15.0,1,1
37,0,145,1,18.0,16.0,1,1
38,0,149,1,13.0,12.0,1,1
39,0,164,1,17.0,19.0,1,1
40,0,164,2,1.0,0.0,0,0
41,0,169,1,11.0,13.0,1,1
42,0,170,1,1.0,0.0,0,0
43,0,171,1,14.0,14.0,1,1
44,0,173,1,9.0,9.0,1,1
45,0,174,1,1.0,1.0,0,0
46,0,192,1,12.0,10.0,1,1
47,0,195,1,1.0,1.0,0,0
48,0,198,1,5.0,4.0,1,1
49,0,208,1,9.0,10.0,1,1
50,0,209,1,5.0,2.0,1,1
51,0,217,1,1.0,2.0,0,1
52,0,218,1,5.0,5.0,1,1
53,0,219,1,15.0,15.0,1,1
54,0,227,1,1.0,4.0,0,1
55,0,243,2,1.0,0.0,0,0
56,0,244,1,1.0,1.0,0,0
57,0,247,1,2.0,0.0,1,0
58,0,248,1,9.0,8.0,1,1
59,0,251,1,1.0,2.0,0,1
60,0,251,2,1.0,0.0,0,0
61,0,254,2,1.0,0.0,0,0
62,0,258,1,20.0,21.0,1,1
63,0,259,1,1.0,11.0,0,1
64,0,289,1,5.0,5.0,1,1
65,0,297,2,1.0,0.0,0,0
66,0,304,2,1.0,0.0,0,0
67,0,310,1,12.0,11.0,1,1
68,0,311,1,2.0,1.0,1,0
69,0,314,1,1.0,1.0,0,0
70,0,330,1,9.0,10.0,1,1
71,0,331,1,8.0,8.0,1,1
72,0,333,1,18.0,17.0,1,1
73,0,378,2,1.0,0.0,0,0
74,0,380,1,17.0,19.0,1,1
75,0,393,2,1.0,0.0,0,0
76,0,401,1,1.0,1.0,0,0
77,0,404,1,18.0,19.0,1,1
78,0,408,1,3.0,16.0,1,1
79,0,409,1,1.0,0.0,0,0
80,0,412,1,2.0,0.0,1,0
81,0,436,1,12.0,11.0,1,1
82,0,438,1,15.0,15.0,1,1
83,0,440,2,1.0,0.0,0,0
84,0,466,1,5.0,6.0,1,1
85,0,473,1,1.0,0.0,0,0
86,0,474,2,1.0,0.0,0,0
87,0,477,1,2.0,2.0,1,1
88,0,487,1,2.0,0.0,1,0
89,0,497,2,1.0,0.0,0,0
90,0,498,1,1.0,0.0,0,0
91,0,500,1,1.0,1.0,0,0
92,0,504,1,2.0,3.0,1,1
93,0,513,1,18.0,18.0,1,1
94,0,516,1,8.0,6.0,1,1
95,0,523,1,15.0,15.0,1,1
96,0,526,1,1.0,0.0,0,0
97,0,533,1,3.0,3.0,1,1
98,0,536,1,1.0,0.0,0,0
99,0,550,1,1.0,10.0,0,1
100,0,559,1,1.0,1.0,0,0
