,time_point,type_0.87,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,0,2,3.0,0.0,1,0
1,0,1,1,1.0,1.0,0,0
2,0,1,2,1.0,0.0,0,0
3,0,2,2,8.0,0.0,1,0
4,0,3,1,16.0,19.0,1,1
5,0,5,1,3.0,16.0,1,1
6,0,5,2,14.0,0.0,1,0
7,0,6,1,14.0,14.0,1,1
8,0,7,1,15.0,15.0,1,1
9,0,7,2,4.0,0.0,1,0
10,0,8,2,3.0,0.0,1,0
11,0,9,1,3.0,3.0,1,1
12,0,10,1,5.0,7.0,1,1
13,0,11,2,7.0,0.0,1,0
14,0,14,1,18.0,19.0,1,1
15,0,15,2,10.0,0.0,1,0
16,0,16,1,1.0,1.0,0,0
17,0,17,1,13.0,23.0,1,1
18,0,18,1,18.0,36.0,1,1
19,0,18,2,4.0,0.0,1,0
20,0,19,1,10.0,21.0,1,1
21,0,21,1,14.0,11.0,1,1
22,0,22,1,15.0,15.0,1,1
23,0,25,1,4.0,4.0,1,1
24,0,27,1,11.0,6.0,1,1
25,0,30,1,6.0,11.0,1,1
26,0,31,1,1.0,1.0,0,0
27,0,32,2,10.0,0.0,1,0
28,0,33,1,1.0,3.0,0,1
29,0,37,1,18.0,16.0,1,1
30,0,38,1,9.0,8.0,1,1
31,0,42,2,1.0,0.0,0,0
32,0,44,1,8.0,9.0,1,1
33,0,46,1,15.0,15.0,1,1
34,0,47,1,18.0,17.0,1,1
35,0,49,1,7.0,7.0,1,1
36,0,56,1,5.0,6.0,1,1
37,0,63,1,12.0,11.0,1,1
38,0,65,1,15.0,15.0,1,1
39,0,68,1,1.0,0.0,0,0
40,0,73,1,5.0,5.0,1,1
41,0,75,1,5.0,16.0,1,1
42,0,78,1,4.0,4.0,1,1
43,0,80,1,1.0,0.0,0,0
44,0,90,1,13.0,12.0,1,1
45,0,94,1,5.0,7.0,1,1
46,0,94,2,1.0,0.0,0,0
47,0,95,1,9.0,9.0,1,1
48,0,95,2,1.0,0.0,0,0
49,0,103,1,7.0,8.0,1,1
50,0,108,1,20.0,21.0,1,1
51,0,114,1,13.0,12.0,1,1
52,0,117,2,1.0,0.0,0,0
53,0,121,2,1.0,0.0,0,0
54,0,124,1,16.0,15.0,1,1
55,0,125,1,17.0,20.0,1,1
56,0,125,2,1.0,0.0,0,0
57,0,130,1,1.0,14.0,0,1
58,0,133,1,1.0,1.0,0,0
59,0,152,1,16.0,30.0,1,1
60,0,158,1,8.0,6.0,1,1
61,0,164,1,9.0,9.0,1,1
62,0,164,2,1.0,0.0,0,0
63,0,167,1,10.0,10.0,1,1
64,0,170,1,4.0,25.0,1,1
65,0,176,1,1.0,0.0,0,0
66,0,177,1,2.0,10.0,1,1
67,0,191,1,18.0,20.0,1,1
68,0,197,1,2.0,3.0,1,1
69,0,200,1,2.0,0.0,1,0
70,0,211,1,1.0,0.0,0,0
71,0,218,1,5.0,6.0,1,1
72,0,219,1,1.0,1.0,0,0
73,0,223,1,1.0,10.0,0,1
74,0,227,1,12.0,13.0,1,1
75,0,228,1,5.0,6.0,1,1
76,0,232,1,12.0,14.0,1,1
77,0,249,1,16.0,16.0,1,1
78,0,250,1,1.0,0.0,0,0
79,0,251,1,8.0,16.0,1,1
80,0,254,2,1.0,0.0,0,0
81,0,255,1,1.0,1.0,0,0
82,0,257,1,11.0,13.0,1,1
83,0,258,1,1.0,1.0,0,0
84,0,264,1,10.0,11.0,1,1
85,0,266,1,1.0,0.0,0,0
86,0,270,1,1.0,2.0,0,1
87,0,275,1,11.0,12.0,1,1
88,0,276,1,1.0,1.0,0,0
89,0,297,2,1.0,0.0,0,0
90,0,304,2,1.0,0.0,0,0
91,0,306,1,1.0,0.0,0,0
92,0,316,1,12.0,10.0,1,1
93,0,318,1,1.0,0.0,0,0
94,0,325,1,15.0,15.0,1,1
95,0,329,1,15.0,15.0,1,1
96,0,350,1,2.0,2.0,1,1
97,0,357,1,1.0,1.0,0,0
98,0,358,1,2.0,0.0,1,0
99,0,370,1,1.0,0.0,0,0
100,0,371,1,1.0,0.0,0,0
101,0,378,2,1.0,0.0,0,0
102,0,383,1,1.0,0.0,0,0
103,0,385,1,14.0,13.0,1,1
104,0,393,2,1.0,0.0,0,0
105,0,395,1,1.0,1.0,0,0
106,0,398,1,1.0,1.0,0,0
107,0,399,1,17.0,31.0,1,1
108,0,419,1,1.0,0.0,0,0
109,0,423,1,1.0,4.0,0,1
110,0,440,1,5.0,5.0,1,1
111,0,441,1,1.0,0.0,0,0
112,0,479,1,1.0,1.0,0,0
113,0,482,1,1.0,1.0,0,0
114,0,487,1,2.0,0.0,1,0
115,0,499,1,9.0,10.0,1,1
116,0,500,1,1.0,1.0,0,0
117,0,515,1,1.0,1.0,0,0
118,0,516,1,1.0,1.0,0,0
119,0,521,1,1.0,1.0,0,0
120,0,532,1,2.0,0.0,1,0
121,0,533,1,1.0,22.0,0,1
122,0,572,1,18.0,20.0,1,1
123,0,574,1,2.0,0.0,1,0
124,0,580,1,1.0,8.0,0,1
125,0,584,1,1.0,1.0,0,0
126,0,603,1,1.0,0.0,0,0
127,0,612,1,2.0,2.0,1,1
128,0,614,1,1.0,1.0,0,0
129,0,630,1,1.0,1.0,0,0
130,0,640,1,1.0,1.0,0,0
131,0,695,1,1.0,0.0,0,0
132,0,704,1,1.0,1.0,0,0
133,0,710,1,1.0,0.0,0,0
134,0,716,1,1.0,0.0,0,0
135,0,755,1,1.0,0.0,0,0
136,0,756,1,1.0,0.0,0,0
137,0,788,1,1.0,0.0,0,0
138,0,790,1,1.0,2.0,0,1
139,0,792,1,3.0,2.0,1,1
140,0,804,1,1.0,1.0,0,0
141,0,819,1,1.0,0.0,0,0
142,0,833,1,1.0,0.0,0,0
143,0,895,1,1.0,4.0,0,1
144,0,925,1,1.0,2.0,0,1
145,0,935,1,1.0,0.0,0,0
146,0,940,1,1.0,0.0,0,0
147,0,945,1,1.0,1.0,0,0
148,0,970,1,1.0,0.0,0,0
