,time_point,type_0.85,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,0,1,5.0,7.0,1,1
1,0,1,1,12.0,13.0,1,1
2,0,2,2,14.0,0.0,1,0
3,0,3,1,11.0,6.0,1,1
4,0,3,2,10.0,0.0,1,0
5,0,4,1,18.0,20.0,1,1
6,0,5,2,10.0,0.0,1,0
7,0,6,1,16.0,19.0,1,1
8,0,7,1,1.0,0.0,0,0
9,0,9,2,7.0,0.0,1,0
10,0,10,1,1.0,0.0,0,0
11,0,10,2,1.0,0.0,0,0
12,0,11,1,18.0,36.0,1,1
13,0,11,2,3.0,0.0,1,0
14,0,12,1,15.0,15.0,1,1
15,0,13,1,12.0,10.0,1,1
16,0,13,2,8.0,0.0,1,0
17,0,15,2,3.0,0.0,1,0
18,0,16,1,1.0,0.0,0,0
19,0,17,1,19.0,16.0,1,1
20,0,18,1,16.0,31.0,1,1
21,0,18,2,1.0,0.0,0,0
22,0,19,1,10.0,11.0,1,1
23,0,21,1,14.0,24.0,1,1
24,0,21,2,4.0,0.0,1,0
25,0,23,1,17.0,31.0,1,1
26,0,25,1,13.0,13.0,1,1
27,0,29,1,17.0,16.0,1,1
28,0,30,1,14.0,14.0,1,1
29,0,31,1,10.0,21.0,1,1
30,0,34,1,8.0,6.0,1,1
31,0,36,1,1.0,1.0,0,0
32,0,37,1,6.0,6.0,1,1
33,0,40,1,1.0,1.0,0,0
34,0,45,1,2.0,12.0,1,1
35,0,46,1,2.0,3.0,1,1
36,0,49,1,16.0,16.0,1,1
37,0,52,2,4.0,0.0,1,0
38,0,56,1,3.0,3.0,1,1
39,0,59,1,16.0,17.0,1,1
40,0,62,1,4.0,25.0,1,1
41,0,64,1,12.0,13.0,1,1
42,0,68,1,9.0,9.0,1,1
43,0,75,1,5.0,6.0,1,1
44,0,76,1,15.0,15.0,1,1
45,0,78,1,15.0,15.0,1,1
46,0,80,1,1.0,1.0,0,0
47,0,82,1,1.0,0.0,0,0
48,0,85,2,1.0,0.0,0,0
49,0,93,1,12.0,11.0,1,1
50,0,94,1,1.0,22.0,0,1
51,0,94,2,1.0,0.0,0,0
52,0,95,2,1.0,0.0,0,0
53,0,96,1,1.0,0.0,0,0
54,0,97,1,6.0,11.0,1,1
55,0,104,1,4.0,4.0,1,1
56,0,105,1,15.0,15.0,1,1
57,0,109,1,1.0,8.0,0,1
58,0,111,1,14.0,13.0,1,1
59,0,117,2,1.0,0.0,0,0
60,0,121,2,1.0,0.0,0,0
61,0,123,1,18.0,17.0,1,1
62,0,125,2,1.0,0.0,0,0
63,0,127,1,8.0,16.0,1,1
64,0,128,1,10.0,11.0,1,1
65,0,133,1,1.0,1.0,0,0
66,0,134,1,12.0,14.0,1,1
67,0,136,1,14.0,13.0,1,1
68,0,137,1,9.0,8.0,1,1
69,0,138,1,2.0,1.0,1,0
70,0,139,1,1.0,2.0,0,1
71,0,145,1,1.0,1.0,0,0
